time, U, V, W
22.6005,0.39709112,-0.00773273455,-0.07747357
22.607,0.393245161,-0.00611393573,-0.0775781944
22.6135,0.390219063,-0.004353089,-0.07732287
22.62,0.387706935,-0.002731456,-0.07681699
22.6265,0.385400951,-0.00127344963,-0.07610271
22.633,0.382960171,8.582586e-05,-0.07511552
22.6395,0.3800651,0.00150133111,-0.07368939
22.646,0.376552016,0.00303554977,-0.07211946
22.6525,0.372222155,0.00468640355,-0.0706073046
22.659,0.3669396,0.006397307,-0.0694151446
22.6655,0.3605364,0.007961326,-0.06904747
22.672,0.353249937,0.0095477635,-0.0690401942
22.6785,0.345309049,0.0111830551,-0.06913476
22.685,0.33701998,0.0128818443,-0.0690510646
22.6915,0.329004049,0.014778235,-0.06830384
22.698,0.32132262,0.0165922623,-0.06727404
22.7045,0.314075232,0.0181645658,-0.06614208
22.711,0.307314366,0.0193799473,-0.0650292039
22.7175,0.300836354,0.0200258717,-0.06411406
22.724,0.29481858,0.0202194359,-0.0633169
22.7305,0.289408356,0.0201129187,-0.0626183152
22.737,0.284592271,0.0198119562,-0.06205793
22.7435,0.2803683,0.0195273533,-0.0616957657
22.75,0.276607752,0.0193001889,-0.0614866428
22.7565,0.2731874,0.0190372877,-0.06126469
22.763,0.270120323,0.018756,-0.06088852
22.7695,0.267431885,0.0184849612,-0.06019829
22.776,0.2651807,0.0182812922,-0.0591269173
22.7825,0.263461441,0.0181563031,-0.0578200221
22.789,0.2622274,0.01807444,-0.0562655963
22.7955,0.2613337,0.0179693941,-0.0544032753
22.802,0.260468453,0.0177716874,-0.0521084778
22.8085,0.2594042,0.01733864,-0.0493193567
22.815,0.2579984,0.0166742224,-0.04604967
22.8215,0.256209284,0.0158680733,-0.042405203
22.828,0.254240334,0.014817737,-0.0388017781
22.8345,0.252093434,0.0139993113,-0.0350843258
22.841,0.249840617,0.0135322288,-0.0313609838
22.8475,0.247547477,0.0134155434,-0.02781434
22.854,0.245213121,0.0134862177,-0.024705492
22.8605,0.242845029,0.0137712406,-0.02235362
22.867,0.240500867,0.01429317,-0.0209440142
22.8735,0.23827672,0.0149773192,-0.0205671322
22.88,0.236494064,0.0159170423,-0.0211874042
22.8865,0.235212818,0.0167606547,-0.0228856914
22.893,0.2341635,0.0169935413,-0.0256534237
22.8995,0.233246356,0.0164522454,-0.02928336
22.906,0.232329011,0.015113594,-0.0334376
22.9125,0.231446445,0.0130560566,-0.03777753
22.919,0.2309289,0.0102540059,-0.042192813
22.9255,0.2308861,0.00678190868,-0.04648874
22.932,0.231318831,0.00274976878,-0.0504344
